filename,chroma_stft,rms,spectral_centroid,spectral_bandwidth,rolloff,zero_crossing_rate,mfcc1,mfcc2,mfcc3,mfcc4,mfcc5,mfcc6,mfcc7,mfcc8,mfcc9,mfcc10,mfcc11,mfcc12,mfcc13,mfcc14,mfcc15,mfcc16,mfcc17,mfcc18,mfcc19,mfcc20,label
classical.00000.au,0.2523910701274872,0.0362548902630806,1505.2990118015814,1558.9528490936896,2717.0085706208883,0.09824505974264706,-268.15594482421875,135.6895751953125,-34.07062911987305,25.630828857421875,-12.969511985778809,17.891944885253906,-9.996481895446777,5.628051280975342,-14.142415046691895,7.498351573944092,-3.961599588394165,8.261255264282227,-1.3529330492019653,-0.3822578191757202,1.031764030456543,3.807187080383301,-0.3037964105606079,1.7785569429397583,0.8903275728225708,-0.8378843665122986,classical
classical.00001.au,0.21506379544734955,0.030627835541963577,1360.4083538769614,1441.143830985568,2387.2188981472523,0.0877715781008127,-324.05877685546875,133.61004638671875,-25.03110122680664,24.567554473876953,-11.933687210083008,17.66252899169922,-5.530693531036377,1.7166861295700073,-10.569640159606934,-0.8459786176681519,-7.798112392425537,3.522399663925171,5.0417351722717285,1.3618336915969849,3.0033457279205322,-3.1248624324798584,-4.291533470153809,0.5912182927131653,2.8719727993011475,0.3662704527378082,classical
classical.00002.au,0.2778652310371399,0.043869055807590485,1490.0348101512677,1599.9591017638193,2784.9164933243032,0.09004972003192724,-235.25579833984375,141.12818908691406,-34.66685485839844,30.97923469543457,-16.3779354095459,23.111984252929688,-11.031444549560547,7.639467239379883,-19.008241653442383,4.235649585723877,-11.820917129516602,8.909784317016602,-1.4338719844818115,4.281025409698486,1.4821399450302124,3.187974691390991,-1.3095182180404663,2.929819345474243,-1.6610032320022583,-2.896665334701538,classical
classical.00003.au,0.23423604667186737,0.029449770227074623,1526.6470666771077,1499.5326169159782,2915.9740341706174,0.10895172213622291,-326.8648376464844,127.39130401611328,-30.59609603881836,37.46879959106445,-5.296103000640869,20.810871124267578,-1.7786439657211304,-4.604763031005859,-4.054472923278809,5.228940963745117,-0.6458982825279236,2.8076395988464355,7.252175331115723,3.9806387424468994,-2.389035701751709,1.4909688234329224,0.5834442973136902,-0.6105860471725464,2.334468364715576,2.6497421264648438,classical
classical.00004.au,0.22317081689834595,0.04229988902807236,1705.7046109371424,1646.2929709871446,3175.7391300732875,0.1128666644494969,-259.90997314453125,118.93929290771484,-35.61185073852539,31.977638244628906,-16.529281616210938,10.622127532958984,-15.651277542114258,7.435394763946533,-5.812291622161865,8.267930030822754,-18.012741088867188,-1.1968321800231934,-6.347265243530273,2.7614517211914062,-2.59257435798645,4.384807586669922,-4.136895179748535,-4.779472827911377,-4.772360324859619,-4.608322620391846,classical
classical.00005.au,0.2685815691947937,0.04327157512307167,1431.4275607948398,1558.3881491925486,2836.6578471180824,0.07523877406636997,-264.2473449707031,138.14891052246094,-30.094566345214844,37.81559753417969,-7.1737751960754395,6.776308059692383,-11.798504829406738,4.712851047515869,-9.830426216125488,5.849233150482178,-9.574091911315918,2.6678671836853027,-4.791535377502441,-1.4049915075302124,-2.0943424701690674,2.9842090606689453,3.3614771366119385,4.814610958099365,1.7617614269256592,-1.826767086982727,classical
classical.00006.au,0.26148927211761475,0.033231887966394424,1372.825806692258,1579.3098868178868,2737.933444091041,0.07292321739551083,-295.702880859375,134.53509521484375,-22.447181701660156,40.74152374267578,-5.877058029174805,9.267066955566406,-11.864937782287598,6.293622016906738,-8.86072063446045,4.400858402252197,-9.37381649017334,4.0623698234558105,1.6280914545059204,5.138569355010986,5.442816734313965,2.285078525543213,-1.816668152809143,-2.923229932785034,0.13503490388393402,3.1974360942840576,classical
classical.00007.au,0.2765291929244995,0.04087373614311218,1358.918358314813,1516.2085229561187,2667.9005342371324,0.07314694998065016,-286.83843994140625,135.91944885253906,-24.437114715576172,36.648643493652344,-6.2344560623168945,6.954075336456299,-8.1627779006958,3.839327573776245,-4.390523910522461,6.429920196533203,-4.12374210357666,1.5436681509017944,-4.346956729888916,-3.0189778804779053,-0.00531412148848176,5.652413845062256,3.437009811401367,2.830976963043213,1.0971744060516357,-0.29430416226387024,classical
classical.00008.au,0.2547735869884491,0.03403812646865845,1516.6262193385692,1629.5007047891386,2973.7820179469813,0.07878788336880804,-292.1282958984375,127.76905059814453,-29.90104103088379,37.43019104003906,-9.54702377319336,5.11370325088501,-13.81169605255127,7.026101112365723,-7.03017520904541,6.489696979522705,-9.906081199645996,4.709106922149658,0.3772055208683014,1.464333415031433,3.3936734199523926,6.0765380859375,0.9634286165237427,-0.7536595463752747,-2.1053125858306885,0.7551324367523193,classical
classical.00009.au,0.2704782485961914,0.023797711357474327,1216.2937624027388,1582.801550966995,2560.2595184609618,0.05627025686919505,-356.1422119140625,139.80580139160156,-6.278478145599365,43.17628860473633,-8.859081268310547,11.042576789855957,-8.373958587646484,4.4157562255859375,-8.290999412536621,8.676971435546875,-8.13815975189209,3.4242939949035645,-1.4383350610733032,-0.41947224736213684,-1.7267193794250488,-0.28363022208213806,-0.6535379886627197,1.160549283027649,-0.6248409748077393,-0.25753170251846313,classical
